PPS TN,Project,Description,Sub-Project,Machine,Tool No.,Area,Step,STD,MAX 8H,Planned,Realized,Backlog,Open,Monday,,,,,,Tuesday,,,,,,Wednesday,,,,,,Thursday,,,,,,Friday,,,,,,Saturday,,,,,,,Planned Production Output,,,,,,,,,,,,,,,,,,,Missed Parts Calculation,,,,,,,,,,,,,,,,,,,Planned until now,EFF per Project,,,,,Missed Parts Calculation,,,,,,,,,,,,,,,,,,,STD,,Daily SAP,,,,,,
,,,,,,,,,,,,,,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,Plan,Ist,,Shift 1,Shift 2,Shift 3,Shift 4,Shift 5,Shift 6,Shift 7,Shift 8,Shift 9,Shift 10,Shift 11,Shift 12,Shift 13,Shift 14,Shift 15,Shift 16,Shift 17,Shift 18,,Shift 1,Shift 2,Shift 3,Shift 4,Shift 5,Shift 6,Shift 7,Shift 8,Shift 9,Shift 10,Shift 11,Shift 12,Shift 13,Shift 14,Shift 15,Shift 16,Shift 17,Shift 18,Adherance,Total,Time used,,,,,Shift 1,Shift 2,Shift 3,Shift 4,Shift 5,Shift 6,Shift 7,Shift 8,Shift 9,Shift 10,Shift 11,Shift 12,Shift 13,Shift 14,Shift 15,Shift 16,Shift 17,Shift 18,,,,lundi,mardi,mercredi,jeudi,vendredi,samedi,Total
243924,EN,Mod. DCC1_3WA 902 N_902 S_TN,Tiguan / Passat EN,SKM Transf.,90°,Assembly,F,0.26,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.57,,0,0,0,0,0,,0
243924,EN,Mod. DCC1_3WA 902 N_902 S_TN,Tiguan / Passat EN,A.S243,357I,Molding,1,0.28,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
243924,EN,Mod. DCC1_3WA 902 N_902 S_TN,Tiguan / Passat EN,A047,172B,Molding,2,0.31,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
243924,EN,Mod. DCC1_3WA 902 N_902 S_TN,Tiguan / Passat EN,,,Pre-Assembly,,0.95,,0,900,0,-900,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,900,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,14.25,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
243925,EN,Mod. DCC2_3WA 902 E_902 P_TN,Tiguan / Passat EN,SKM Round2,90°,Assembly,F,0.26,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.26,,0,0,0,0,0,,0
243925,EN,Mod. DCC2_3WA 902 E_902 P_TN,Tiguan / Passat EN,A.S396,357C,Molding,1,0.28,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
243925,EN,Mod. DCC2_3WA 902 E_902 P_TN,Tiguan / Passat EN,,,Pre-Assembly,,0.95,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
243926,EN,Mod. DCC2_3WA 902 G_902 R_TN,Tiguan / Passat EN,SKM Round2,90°,Assembly,F,0.26,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.26,,0,0,0,0,0,,0
243926,EN,Mod. DCC2_3WA 902 G_902 R_TN,Tiguan / Passat EN,A.S396,357C,Molding,1,0.28,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
243926,EN,Mod. DCC2_3WA 902 G_902 R_TN,Tiguan / Passat EN,,,Pre-Assembly,,0.95,,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,,0
