,,Machines,Sigma 688 / Alpha 488,Alpha 550 / Alpha 433,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Kappa 350 / Kappa 330,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,Wire Cut & Separating Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,PUR-Tube Assembly Station,SKM DCPC Crimp (Crimp and Ass),Connector Assembly Station,Wire Rolling & Taping Station,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 1-5,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,"ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13","ARBURG 375ST Machine 11,12,13",ARBURG 375ST Machine 6-10,ARBURG 375ST Machine 6-10,SKM Seal and outer Housing Assembly DCC,SKM Seal and outer Housing Assembly DCC,,TSK T1500,TSK T1500,TSK T1500,Cutting Automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6 Wire Jacket 2xDCC Modul 4P0251,,,,,,,7.22,,,,,12,,,5.44,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,20,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.01,2
71,6 Wire Jacket 2xDCC Modul 4P0252,,,,,,,7.47,,,,,12,,,5.44,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,,,,16.29,,,,,,,,20,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.26,2
72,6 Wire Jacket 3xDCC Modul 4P0263,,,,,,,7.64,,,,,12,,,5.44,,,9.04,20.88,,,,,,,,,,,,30,,,17.91,,,,,,,,,,,16.29,20,,,,,,,,,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.57,2.81
73,6 Wire Jacket 3xDCC Modul 4P0264,,,,,,,7.89,,,,,12,,,5.44,,,9.04,20.88,,,,,,,,,,,,30,,,17.91,,,,,,,,,,,16.29,,,,,20,,,,,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.82,2.81
74,4 Wire Jacket 2xDCC Modul 8B3263,,,,,7.84,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.22,1.82
75,Twisted Wires 1xDCC Modul 4P0253_,,6.87,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.13,0.97
76,Twisted Wires 1xDCC Modul 4P0253A,,6.87,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.06,0.88
77,Twisted Wires 1xDCC Modul 4P0254,,6.87,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.06,0.88
78,6 Wire Jacket 3xDCC Modul 4P0246,,,,,,,8.25,,,,,12,,,5.44,,22.81,,31.32,,,,,,,,,,,,30,,,,,,,17.91,,,,,,,16.29,,,,,,,20,,,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.39,3.22
79,6 Wire Jacket 3xDCC Modul 4P0267,,,,,,,7.82,,,,,12,,,5.44,,22.81,,31.32,,,,,,,,,,,,30,,,,,,,17.91,,,,,,,16.29,,,20,,,,,,,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.96,3.22
80,4 Wire Jacket 1xDCC Modul 8B3251,,,,,7.42,,,,,,8.12,,,,,,,,,,,,,,,15.92,,,,,10,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25,1.19
81,2 Wire Jacket 1xDCC Modul 8B3252,,,,7.77,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,10,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.48,1.06
82,Twisted Wires 1xDCC Modul 8B3253,,6.9,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.78,1
83,Twisted Wires 1xDCC Modul 8B3254,,6.9,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.71,0.91
84,4 Wire Jacket 1xDCC Modul 85H251_,,,,,8.42,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.13,1.15
85,2 Wire Jacket 1xDCC Modul 85H251B,,,,8.24,,,,,,,,,,,,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.38,0.94
86,6 Wire Jacket 2xDCC Modul 85H251D,,,,,,,8.42,,,,,12,,,5.44,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.97,2.08
87,4 Wire Jacket 2xDCC Modul 85H251F,,,,,8.42,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.65,1.93
88,2 Wire Jacket 1xDCC Modul 85H251G,,,,8.42,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.01,1.02
89,4 Wire Jacket 2xDCC Modul 85H251J,,,,,8.24,,,,,,8.12,,,,,,,,20.88,,,,,,,,,,,,20,,,17.91,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.02,1.85
90,6 Wire Jacket 2xDCC Modul 85H251L,,,,,,,8.24,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,17.91,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.34,2.01
91,4 Wire Jacket 1xDCC Modul 85H251M,,,,,8.24,,,,,,8.12,,,,,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,1.08
92,2 Wire Jacket 1xDCC Modul 85H251N,,,,10.26,,,,,,,,,,,,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4,0.97
93,2 Wire Jacket 1xDCC Modul 85H251P,,,,10.44,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.03,1.05
94,4 Wire Jacket 1xDCC Modul 85H251R,,,,,10.44,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.15,1.19
95,4 Wire Jacket 1xDCC Modul 85H252_,,,,,7.52,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.23,1.14
96,4 Wire Jacket 1xDCC Modul 85H252B,,,,,7.34,,,,,,8.12,,,,,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6,1.06
97,6 Wire Jacket 2xDCC Modul 85H252D,,,,,,,7.52,,,,,12,,,5.44,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,16.29,,,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.07,2.07
98,6 Wire Jacket 2xDCC Modul 85H252F,,,,,,,7.34,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,17.91,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.44,1.99
99,4 Wire Jacket 2xDCC Modul 85H255_,,,,,8.02,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.44,1.91
100,4 Wire Jacket 2xDCC Modul 85H255A,,,,,8.04,,,,,,8.12,,,,,,,,,28.16,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.1,1.97
101,"Twisted Wires 1xDCC Modul 85H253,254",,6.57,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.37,1.07
102,"4 Wire Jacket 2xDCC Modul 95C311 N,P",,,,,7.37,,,,,,8.12,,,,,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,,16.29,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.96,1.85
103,"4 Wire Jacket 2xDCC Modul 95C312 F,G",,,,,7.37,,,,,,8.12,,,,,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,,16.29,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.96,1.85
104,"Twisted Wires 1xDCC Modul 95C311 M,N",,6.97,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.42,0.97
105,Twisted Wires 1xDCC Modul 95C311 P,,6.97,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.59,0.93
106,"Twisted Wires 1xDCC Modul 95C312 _,F",,6.97,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.42,0.97
107,Twisted Wires 1xDCC Modul 95C312 G,,6.97,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.59,0.93
108,Twisted Wires 1xDCC Modul 95C311 P,,6.99,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,0.91
109,Twisted Wires 1xDCC Modul 95C312 G,,6.99,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8,0.91
110,4 Wire Jacket 1xDCC Modul 85F252_,,,,,8.01,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.72,1.15
111,4 Wire Jacket 1xDCC Modul 85F252B,,,,,7.83,,,,,,8.12,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.54,1.14
112,"Twisted Wires 1xDCC Modul 85F253,254",,6.76,,,,,,,,,,,,,,,,,,,,,,,,15.92,,,,,,8.09,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.56,1.08
113,6 Wire Jacket 2xDCC Modul 85F264_,,,,,,,8.02,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,16.29,,,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.93,2.02
114,4 Wire Jacket 2xDCC Modul 85F255,,,,,7.88,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.3,1.91
115,2 Wire Jacket 1xDCC Modul 85F251B,,,,8.86,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.45,1.02
116,2 Wire Jacket 1xDCC Modul 85F251D,,,,9.04,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.63,1.03
117,2 Wire Jacket 1xDCC Modul 85F251H,,,,11.1,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.69,1.06
118,2 Wire Jacket 1xDCC Modul 85F251J,,,,11.29,,,,,,,,,,,,,,,,14.08,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.88,1.06
119,6 Wire Jacket 2xDCC Modul 85F263_,,,,,,,9.05,,,,,12,,,5.44,,,,20.88,,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.96,2.03
